ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (lbs)","Longitud (in)","Ancho (in)","Altura (in)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas
509,simple,,,"Panettone de Chocolate — colaboración con Ton Cortés",1,0,visible,"Elaborado con masa madre, mantequilla y cacao, con trozos de chocolate y gianduja de avellana. Un panettone intenso, suave y profundamente chocolatoso.","Panettone de origen italiano elaborado en colaboración con Ton Cortés. Preparado con una masa enriquecida con mantequilla y masa madre, incorpora cacao, trozos de chocolate y gianduja de avellana con chocolate. Intenso, suave y con un perfil profundo de cacao y avellana.",,,taxable,,0,0,2,0,0,,,,,0,,,350,Panaderia,,,https://lawngreen-worm-463252.hostingersite.com/wp-content/uploads/2026/09/WhatsApp-Image-2026-08-27-at-6.13.22-PM-1.jpeg,,,,,,,,,0,
510,simple,,,"Panettone Tradicional — colaboración con Ton Cortés",1,0,visible,"Elaborado en colaboración con Ton Cortés a partir de masa madre y mantequilla, con naranja confitada y pasa rubia. Un clásico italiano de textura suave, aromática y delicadamente dulce.","Clásico panettone de origen italiano, elaborado en colaboración con Ton Cortés. Una masa enriquecida con mantequilla y desarrollada a partir de masa madre de panettone, con naranja confitada y pasa rubia. De textura suave, aromática y delicadamente dulce.",,,taxable,,1,10,2,0,0,,,,,0,,120,350,Panaderia,,,https://lawngreen-worm-463252.hostingersite.com/wp-content/uploads/2026/09/WhatsApp-Image-2026-08-27-at-6.15.13-PM-1.jpeg,,,,,,,,,0,
